id,time,feature_1,feature_2
0,19-03-2019 00:00,735.7400425,54479.54051
1,19-03-2019 00:00,734.1029469,47888.03371
2,19-03-2019 00:00,730.0603364,47700.88233
3,19-03-2019 00:00,725.6097418,47790.09465
4,19-03-2019 00:00,724.3284804,47808.40238
5,19-03-2019 00:00,723.7158925,47810.51741
6,19-03-2019 00:01,720.4068753,47835.75812
7,19-03-2019 00:01,712.6822686,47806.93848
8,19-03-2019 00:01,711.5097411,47812.09904
9,19-03-2019 00:01,707.0255939,47821.54051
10,19-03-2019 00:01,704.9676397,47873.85563
11,19-03-2019 00:01,698.3470537,47904.91716
12,19-03-2019 00:02,695.3261737,48024.05114
13,19-03-2019 00:02,694.9600175,48164.8099
14,19-03-2019 00:02,693.1946333,48324.15038
15,19-03-2019 00:02,688.4415466,48338.74935
16,19-03-2019 00:02,688.3838115,48348.04935
17,19-03-2019 00:02,685.0965065,48313.60819
18,19-03-2019 00:03,678.9577609,48315.78062
19,19-03-2019 00:03,678.1839249,48257.96522
20,19-03-2019 00:03,675.9003268,48330.19745
21,19-03-2019 00:03,673.4867952,48429.88058
22,19-03-2019 00:03,674.0842973,48459.73248
23,19-03-2019 00:03,673.2783203,48538.1404
24,19-03-2019 00:04,670.8323086,48632.97309
25,19-03-2019 00:04,667.3347207,48718.48689
26,19-03-2019 00:04,666.5071286,48780.65795
27,19-03-2019 00:04,666.95943,48872.07306
28,19-03-2019 00:04,664.5229539,48957.70976
29,19-03-2019 00:04,660.8313519,48960.8592
30,19-03-2019 00:05,661.5665355,49011.51985
31,19-03-2019 00:05,661.3695425,49023.16838
32,19-03-2019 00:05,660.4082108,49124.7113
33,19-03-2019 00:05,653.2105707,49182.76588
34,19-03-2019 00:05,654.1444035,49195.29698
35,19-03-2019 00:05,652.4976301,49148.82727
36,19-03-2019 00:06,650.4278321,49121.7603
37,19-03-2019 00:06,648.5690546,49004.93303
38,19-03-2019 00:06,643.328448,49144.49194
39,19-03-2019 00:06,643.7959116,49165.36798
40,19-03-2019 00:06,642.0973788,49148.03983
41,19-03-2019 00:06,640.7063931,49202.62083
42,19-03-2019 00:07,638.5718848,49254.59804
43,19-03-2019 00:07,636.8838499,49322.15394
44,19-03-2019 00:07,633.6931743,49398.29748
45,19-03-2019 00:07,633.2449142,49436.77718
46,19-03-2019 00:07,631.5244058,49529.95532
47,19-03-2019 00:07,630.0653946,49520.3516
48,19-03-2019 00:08,627.8787434,49521.80719
49,19-03-2019 00:08,624.9821594,49477.8046
50,19-03-2019 00:08,622.6690851,49594.52554
51,19-03-2019 00:08,622.9033236,49662.55825
52,19-03-2019 00:08,621.5608195,49683.11241
53,19-03-2019 00:08,621.8450721,49741.66009
54,19-03-2019 00:09,622.4624479,49874.60559
55,19-03-2019 00:09,621.1663679,49901.55504
56,19-03-2019 00:09,620.2095741,49935.55662
57,19-03-2019 00:09,620.0425806,49922.07547
58,19-03-2019 00:09,619.8093938,49946.01586
59,19-03-2019 00:09,617.658237,49985.64425
60,19-03-2019 00:10,617.7705754,50051.98412
61,19-03-2019 00:10,618.035815,50065.38313
62,19-03-2019 00:10,615.0501284,50066.122
63,19-03-2019 00:10,612.7718469,50124.71359
64,19-03-2019 00:10,614.4617759,50101.00722
65,19-03-2019 00:10,613.7311901,50125.25184
